gene_set,cell_type,gene_symbol,pathway_level,pmids,reference_gene_set
IMMPRINT_ANGIOGENESIS,pan,VEGFA,3,2479986,HALLMARK_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,VEGFB,3,8637916,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,VEGFC,3,8617204,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,PGF,3,11329059,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,FLT1,1,7596436,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,KDR,1,7596435,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,FLT4,1,9794766,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,NRP1,1,9529250,HALLMARK_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,ANGPT1,3,8980223,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,ANGPT2,3,9204896,GOBP_ENDOTHELIAL_CELL_MIGRATION
IMMPRINT_ANGIOGENESIS,pan,TEK,1,7596437,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,TIE1,1,7596437;8846781,
IMMPRINT_ANGIOGENESIS,pan,CDH5,3,10428027,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,PECAM1,3,9284815,GOBP_ENDOTHELIAL_CELL_MIGRATION
IMMPRINT_ANGIOGENESIS,pan,HIF1A,2,8756616,GOBP_ENDOTHELIAL_CELL_MIGRATION
IMMPRINT_ANGIOGENESIS,pan,EPAS1,2,10880563;9000051,
IMMPRINT_ANGIOGENESIS,pan,FGF2,3,2429303,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,pan,DLL4,3,10837024,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,FAS,1,1713127,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,TNFRSF10A,1,9082980,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,TNFRSF10B,1,9242611,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,TNFRSF1A,1,8397073,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,FADD,2,7538907,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,TRADD,2,7758105,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,CASP8,2,8681377,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,CASP10,2,8755496,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,CASP3,3,7596430,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,CASP6,3,7796396,REACTOME_APOPTOSIS
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,CASP7,3,8521391,REACTOME_APOPTOSIS
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,BID,2,9727492,REACTOME_APOPTOSIS
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,CFLAR,2,9217161,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,BIRC2,2,18022362,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,pan,BIRC3,2,18022362,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BCL2,2,2250705,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BCL2L1,2,8358789,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,MCL1,2,9002967,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BCL2L2,2,8761287,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BAX,2,8358790,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BAK1,2,7715730,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BAD,1,7834748,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BID,1,8918887,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BBC3,1,11463392,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,PMAIP1,1,10807576,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BCL2L11,1,9430630,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BMF,1,11546872,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,HRK,1,9130713,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,pan,BIK,1,7478623,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,pan,APAF1,2,9267021,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CYCS,2,8689682,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,DIABLO,2,10929711,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CASP9,2,9390557,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CASP3,3,7596430,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CASP7,3,8521391,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
