gene_set,gene_symbol,pathway_level,regulatory_role,cell_type,pmids,reference_gene_set
IMMPRINT_ANGIOGENESIS,VEGFA,3,none,pan,2479986,HALLMARK_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,VEGFB,3,none,pan,8637916,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,VEGFC,3,none,pan,8617204,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,PGF,3,none,pan,1924389,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,FLT1,1,none,pan,7596436,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,KDR,1,none,pan,1417831,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,FLT4,1,none,pan,10856194,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,NRP1,1,none,pan,9529250,HALLMARK_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,ANGPT1,3,none,pan,8980223,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,ANGPT2,3,context_dependent,pan,9204896,GOBP_ENDOTHELIAL_CELL_MIGRATION
IMMPRINT_ANGIOGENESIS,TEK,1,none,pan,8980225,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,TIE1,1,none,pan,1312667,
IMMPRINT_ANGIOGENESIS,CDH5,3,none,pan,7627717,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,PECAM1,3,none,pan,9284815,GOBP_ENDOTHELIAL_CELL_MIGRATION
IMMPRINT_ANGIOGENESIS,HIF1A,2,none,pan,8756616,GOBP_ENDOTHELIAL_CELL_MIGRATION
IMMPRINT_ANGIOGENESIS,EPAS1,2,none,pan,9000051,
IMMPRINT_ANGIOGENESIS,FGF2,3,none,pan,3780670,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_ANGIOGENESIS,DLL4,3,inhibitory,pan,10837024,GOBP_SPROUTING_ANGIOGENESIS
IMMPRINT_APOPTOSIS_EXTRINSIC,FAS,1,none,pan,1713127,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,TNFRSF10A,1,none,pan,9082980,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,TNFRSF10B,1,none,pan,9242611,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,TNFRSF1A,1,none,pan,8397073,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,FADD,2,none,pan,7538907,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,TRADD,2,none,pan,7758105,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,CASP8,2,none,pan,8681377,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,CASP10,2,none,pan,8755496,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,CASP3,3,none,pan,7596430,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,CASP6,3,none,pan,7796396,REACTOME_APOPTOSIS
IMMPRINT_APOPTOSIS_EXTRINSIC,CASP7,3,none,pan,8521391,REACTOME_APOPTOSIS
IMMPRINT_APOPTOSIS_EXTRINSIC,BID,2,none,pan,9727492,REACTOME_APOPTOSIS
IMMPRINT_APOPTOSIS_EXTRINSIC,CFLAR,2,inhibitory,pan,9217161,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,BIRC2,2,inhibitory,pan,18022362,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_EXTRINSIC,BIRC3,2,inhibitory,pan,18022362,REACTOME_DEATH_RECEPTOR_SIGNALING
IMMPRINT_APOPTOSIS_INTRINSIC,BCL2,2,inhibitory,pan,2250705,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BCL2L1,2,inhibitory,pan,8358789,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,MCL1,2,inhibitory,pan,7682708,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,BCL2L2,2,inhibitory,pan,8761287,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,BAX,2,none,pan,8358790,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BAK1,2,none,pan,7715730,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BAD,1,none,pan,7834748,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BID,1,none,pan,8918887,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BBC3,1,none,pan,11463392,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,PMAIP1,1,none,pan,10807576,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BCL2L11,1,none,pan,9430630,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,BMF,1,none,pan,11546872,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,HRK,1,none,pan,9130713,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,BIK,1,none,pan,7478623,GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
IMMPRINT_APOPTOSIS_INTRINSIC,APAF1,2,none,pan,9267021,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,CYCS,2,none,pan,8689682,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,DIABLO,2,none,pan,10929711,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
